institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
Sarpsborg kommune,sarpsborg-kommune,Norway,Europe,NO-00000028312,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028312,County/local authority archives,http://www.sarpsborg.com/,True,True
Senter for studier av Holocaust og livsynsminoriteter,senter-for-studier-av-holocaust-og-livsynsminoriteter,Norway,Europe,NO-00000028826,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028826,,https://www.hlsenteret.no/,True,True
Ski lokalhistoriske arkiv,ski-lokalhistoriske-arkiv,Norway,Europe,NO-00000028313,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028313,Municipal archives,http://www.ski.no/sla,True,True
Sør-Troms Museum,s-r-troms-museum,Norway,Europe,NO-00000028824,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028824,,https://www.stmu.no,True,True
språksamlingane,spr-ksamlingane,Norway,Europe,NO-00000028909,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028909,,https://www.uib.no/,True,True
Stavanger byarkiv,stavanger-byarkiv,Norway,Europe,NO-00000028315,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028315,County/local authority archives,https://www.stavanger.kommune.no/byarkivet,True,True
Stiftelsen Kulturkvartalet,stiftelsen-kulturkvartalet,Norway,Europe,NO-00000028829,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028829,,,False,True
Stiftinga Jærmuseet,stiftinga-j-rmuseet,Norway,Europe,NO-00000028835,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028835,,https://www.jaermuseet.no/,True,True
Stortinget,stortinget,Norway,Europe,NO-00000028325,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028325,,https://www.stortinget.no/stortingsarkivet,True,True
Svalbard Museum,svalbard-museum,Norway,Europe,NO-00000028923,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028923,,https://svalbardmuseum.no,True,True
Telemark museum,telemark-museum,Norway,Europe,NO-00000028317,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028317,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://telemarkmuseum.no/,True,True
Telemuseet,telemuseet,Norway,Europe,NO-00000028318,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028318,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://telemuseet.no/,True,True
The Regional State Archives in Bergen,the-regional-state-archives-in-bergen,Norway,Europe,NO-n,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-n,,https://www.arkivverket.no/om-oss/besok-oss/statsarkivet-i-bergen,True,True
The Regional State Archives in Hamar,the-regional-state-archives-in-hamar,Norway,Europe,NO-A2,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-A2,,https://www.arkivverket.no/tjenester,True,True
